ano,serie,categoria,valor,defasado,n
2024,3o EM,sexo,Mulher,0.09212110470563445,2566
2012,4o EF,raca,Branca,0.12109055485402916,3163
2012,4o EF,raca,Parda,0.22507213625661207,5430
2012,4o EF,raca,Preta,0.3051962442534772,501
2012,4o EF,sexo,Homem,0.22461281015386528,4871
2012,4o EF,sexo,Mulher,0.14798123209965738,4264
2013,4o EF,raca,Branca,0.10289405766451824,2778
2013,4o EF,raca,Parda,0.20743581159616784,4855
2013,4o EF,raca,Preta,0.21449029728962182,366
2013,4o EF,sexo,Homem,0.19330588924001976,4266
2013,4o EF,sexo,Mulher,0.13682732286669047,3757
2014,4o EF,raca,Branca,0.08702114946628119,2537
2014,4o EF,raca,Parda,0.1823501110576058,4589
2014,4o EF,raca,Preta,0.2702475449124148,343
2014,4o EF,sexo,Homem,0.18652694539541828,4035
2014,4o EF,sexo,Mulher,0.10687713741858389,3468
2015,4o EF,raca,Branca,0.06893807814555487,2645
2015,4o EF,raca,Parda,0.15507549750697977,4529
2015,4o EF,raca,Preta,0.1467159231366281,360
2015,4o EF,sexo,Homem,0.1530091040534837,4024
2015,4o EF,sexo,Mulher,0.08321532565446639,3560
2016,4o EF,raca,Branca,0.08600533617653675,2683
2016,4o EF,raca,Parda,0.1378209036043895,4714
2016,4o EF,raca,Preta,0.18294604456391145,442
2016,4o EF,sexo,Homem,0.1501531853931653,4204
2016,4o EF,sexo,Mulher,0.08706362091400358,3690
2017,4o EF,raca,Branca,0.05617676380414995,2679
2017,4o EF,raca,Parda,0.12204339498642125,4746
2017,4o EF,raca,Preta,0.16427556866367413,423
2017,4o EF,sexo,Homem,0.11992848685469751,4243
2017,4o EF,sexo,Mulher,0.07345637911909332,3667
2018,4o EF,raca,Branca,0.06745024832402631,2549
2018,4o EF,raca,Parda,0.12411160174875734,4616
2018,4o EF,raca,Preta,0.1614379724377838,489
2018,4o EF,sexo,Homem,0.13236707200230477,4103
2018,4o EF,sexo,Mulher,0.07406383569091805,3631
2019,4o EF,raca,Branca,0.0580015923692272,2516
2019,4o EF,raca,Parda,0.11363998274435734,4352
2019,4o EF,raca,Preta,0.10355405803510467,467
2019,4o EF,sexo,Homem,0.11304469971465986,3819
2019,4o EF,sexo,Mulher,0.06782131415409383,3589
2020,4o EF,raca,Branca,0.052592164575482124,1751
2020,4o EF,raca,Parda,0.08225431008671322,2799
2020,4o EF,raca,Preta,0.08458529715436727,309
2020,4o EF,sexo,Homem,0.10194708952130485,2523
2020,4o EF,sexo,Mulher,0.040170310379608415,2363
2021,4o EF,raca,Branca,0.0588315432581056,1618
2021,4o EF,raca,Parda,0.10091157802828443,2550
2021,4o EF,raca,Preta,0.1259902371688532,263
2021,4o EF,sexo,Homem,0.10245750167486047,2341
2021,4o EF,sexo,Mulher,0.06302039403440071,2119
2022,4o EF,raca,Branca,0.05205556459043128,2097
2022,4o EF,raca,Parda,0.07089277577281781,3231
2022,4o EF,raca,Preta,0.09954335166394195,358
2022,4o EF,sexo,Homem,0.07291391338123833,2977
2022,4o EF,sexo,Mulher,0.05795481031997758,2761
2023,4o EF,raca,Branca,0.043052810670900415,2017
2023,4o EF,raca,Parda,0.08077533648637752,3134
2023,4o EF,raca,Preta,0.11983041730991449,429
2023,4o EF,sexo,Homem,0.0833685172556309,2941
2023,4o EF,sexo,Mulher,0.05528804814310109,2708
2024,4o EF,raca,Branca,0.05526017083734188,2141
2024,4o EF,raca,Parda,0.07247545962597408,3382
2024,4o EF,raca,Preta,0.1059939230253172,472
2024,4o EF,sexo,Homem,0.07819102666475797,3195
2024,4o EF,sexo,Mulher,0.057691358934971466,2874
2012,5o EF,raca,Branca,0.17258284873532365,3380
2012,5o EF,raca,Parda,0.30791227743022287,5657
2012,5o EF,raca,Preta,0.37747735823587314,511
2012,5o EF,sexo,Homem,0.29988491988674865,5225
2012,5o EF,sexo,Mulher,0.20827277382723355,4366
2013,5o EF,raca,Branca,0.13530863100210597,2785
2013,5o EF,raca,Parda,0.25437323329890704,5127
2013,5o EF,raca,Preta,0.31209995668357726,448
2013,5o EF,sexo,Homem,0.24814506335491623,4511
2013,5o EF,sexo,Mulher,0.17048153267003138,3881
2014,5o EF,raca,Branca,0.11870941000574138,2588
2014,5o EF,raca,Parda,0.21226112016943863,4686
2014,5o EF,raca,Preta,0.35374075415765666,351
2014,5o EF,sexo,Homem,0.22251810303954775,4102
2014,5o EF,sexo,Mulher,0.13939730093094926,3559
2015,5o EF,raca,Branca,0.11082927491200922,2603
2015,5o EF,raca,Parda,0.2094995127480448,4561
2015,5o EF,raca,Preta,0.22265730899420363,375
2015,5o EF,sexo,Homem,0.21078972443483707,4067
2015,5o EF,sexo,Mulher,0.1262696833118184,3511
2016,5o EF,raca,Branca,0.09447137178929761,2791
2016,5o EF,raca,Parda,0.19155824102819852,4712
2016,5o EF,raca,Preta,0.27127668704296704,487
2016,5o EF,sexo,Homem,0.1874636189116351,4224
2016,5o EF,sexo,Mulher,0.1260100912171587,3808
2017,5o EF,raca,Branca,0.09118833712032182,2724
2017,5o EF,raca,Parda,0.1663591976028917,4789
2017,5o EF,raca,Preta,0.16545779754556486,505
2017,5o EF,sexo,Homem,0.1731510349540017,4293
2017,5o EF,sexo,Mulher,0.09556803998002365,3787
2018,5o EF,raca,Branca,0.07636563910946186,2526
2018,5o EF,raca,Parda,0.15176691148401575,4694
2018,5o EF,raca,Preta,0.1339854054437461,502
2018,5o EF,sexo,Homem,0.14682768265427446,4088
2018,5o EF,sexo,Mulher,0.09524445812737917,3717
2019,5o EF,raca,Branca,0.06897966759290501,2466
2019,5o EF,raca,Parda,0.14040787080496325,4404
2019,5o EF,raca,Preta,0.15925092339536276,475
2019,5o EF,sexo,Homem,0.14629258198787023,3897
2019,5o EF,sexo,Mulher,0.08136425896707075,3522
2020,5o EF,raca,Branca,0.061368500065882896,1710
2020,5o EF,raca,Parda,0.12778615007231997,2845
2020,5o EF,raca,Preta,0.23544174441086058,285
2020,5o EF,sexo,Homem,0.15212086358848687,2587
2020,5o EF,sexo,Mulher,0.06695833943429813,2295
2021,5o EF,raca,Branca,0.07728603518478101,1607
2021,5o EF,raca,Parda,0.13474649511866715,2630
2021,5o EF,raca,Preta,0.22227934192495946,310
2021,5o EF,sexo,Homem,0.1547808571839819,2410
2021,5o EF,sexo,Mulher,0.08286196565998483,2162
2022,5o EF,raca,Branca,0.05210958156663111,2239
2022,5o EF,raca,Parda,0.11084444573208119,3264
2022,5o EF,raca,Preta,0.10482554521705917,430
2022,5o EF,sexo,Homem,0.11065994690837722,3146
2022,5o EF,sexo,Mulher,0.059203426975239004,2833
2023,5o EF,raca,Branca,0.05753746410717495,2051
2023,5o EF,raca,Parda,0.0983422413633662,3263
2023,5o EF,raca,Preta,0.10989822947245143,455
2023,5o EF,sexo,Homem,0.10057409521371724,3013
2023,5o EF,sexo,Mulher,0.06539124748236838,2815
2024,5o EF,raca,Branca,0.050500743921969224,2147
2024,5o EF,raca,Parda,0.09242121414444521,3257
2024,5o EF,raca,Preta,0.11437362593190331,476
2024,5o EF,sexo,Homem,0.08898374533587969,3147
2024,5o EF,sexo,Mulher,0.06488340005698881,2794
2012,6o EF,raca,Branca,0.18505656876713764,3445
2012,6o EF,raca,Parda,0.30809226292508063,5797
2012,6o EF,raca,Preta,0.3607962832684539,601
2012,6o EF,sexo,Homem,0.3136929055680733,5337
2012,6o EF,sexo,Mulher,0.20616995676268632,4559
2013,6o EF,raca,Branca,0.18165970271847973,2943
2013,6o EF,raca,Parda,0.30303028547547733,5441
2013,6o EF,raca,Preta,0.3272416715249339,465
2013,6o EF,sexo,Homem,0.308722839298606,4844
2013,6o EF,sexo,Mulher,0.1977716827485154,4037
2014,6o EF,raca,Branca,0.13582618579625402,2658
2014,6o EF,raca,Parda,0.2816085028548981,4978
2014,6o EF,raca,Preta,0.3579374048806691,402
2014,6o EF,sexo,Homem,0.2798470907377142,4405
2014,6o EF,sexo,Mulher,0.17355071541965933,3660
2015,6o EF,raca,Branca,0.12827435368260617,2842
2015,6o EF,raca,Parda,0.25351906881085384,4949
2015,6o EF,raca,Preta,0.27772041261941766,412
2015,6o EF,sexo,Homem,0.2520689178797283,4426
2015,6o EF,sexo,Mulher,0.1534407681627399,3823
2016,6o EF,raca,Branca,0.12954285800734006,3040
2016,6o EF,raca,Parda,0.2269808024784686,5363
2016,6o EF,raca,Preta,0.27377995172027425,591
2016,6o EF,sexo,Homem,0.23273576558671952,4917
2016,6o EF,sexo,Mulher,0.1447976169022137,4131
2017,6o EF,raca,Branca,0.12226851952417468,2967
2017,6o EF,raca,Parda,0.23364353108329777,5153
2017,6o EF,raca,Preta,0.266958815310732,527
2017,6o EF,sexo,Homem,0.23573557485929492,4706
2017,6o EF,sexo,Mulher,0.14303844920551154,4006
2018,6o EF,raca,Branca,0.10380703176936691,2694
2018,6o EF,raca,Parda,0.2062316014171567,4903
2018,6o EF,raca,Preta,0.2443981920634699,621
2018,6o EF,sexo,Homem,0.21440556425630727,4395
2018,6o EF,sexo,Mulher,0.12232729268153153,3902
2019,6o EF,raca,Branca,0.10737270001814292,2636
2019,6o EF,raca,Parda,0.18938258035627412,4758
2019,6o EF,raca,Preta,0.22027234003867455,562
2019,6o EF,sexo,Homem,0.2027093312910605,4326
2019,6o EF,sexo,Mulher,0.11326780438615773,3704
2020,6o EF,raca,Branca,0.10287423520645031,1830
2020,6o EF,raca,Parda,0.16341037753523524,3172
2020,6o EF,raca,Preta,0.19010251535481845,363
2020,6o EF,sexo,Homem,0.17439616832503618,2881
2020,6o EF,sexo,Mulher,0.10604657293292508,2525
2021,6o EF,raca,Branca,0.09113237736008303,1664
2021,6o EF,raca,Parda,0.16278065582547138,2801
2021,6o EF,raca,Preta,0.15337747846360217,275
2021,6o EF,sexo,Homem,0.1604451886566945,2525
2021,6o EF,sexo,Mulher,0.10617385795590423,2258
2022,6o EF,raca,Branca,0.08835126687326395,2222
2022,6o EF,raca,Parda,0.13841849583257185,3623
2022,6o EF,raca,Preta,0.24712421695745224,453
2022,6o EF,sexo,Homem,0.15044103791971078,3373
2022,6o EF,sexo,Mulher,0.10305877151915258,2993
2023,6o EF,raca,Branca,0.06862624048653472,2236
2023,6o EF,raca,Parda,0.12987369843685576,3500
2023,6o EF,raca,Preta,0.1447271343148784,452
2023,6o EF,sexo,Homem,0.13509764218461381,3292
2023,6o EF,sexo,Mulher,0.0761047141016753,2966
2024,6o EF,raca,Branca,0.08002393822677915,2212
2024,6o EF,raca,Parda,0.12231103165330287,3538
2024,6o EF,raca,Preta,0.21051293527659073,471
2024,6o EF,sexo,Homem,0.14098695637438066,3269
2024,6o EF,sexo,Mulher,0.08261213183214007,3021
2012,7o EF,raca,Branca,0.18053207196163454,3425
2012,7o EF,raca,Parda,0.3123044372572818,5161
2012,7o EF,raca,Preta,0.3806297861946925,506
2012,7o EF,sexo,Homem,0.3116579138271193,4710
2012,7o EF,sexo,Mulher,0.20955395864606594,4416
2013,7o EF,raca,Branca,0.1668591997934878,2957
2013,7o EF,raca,Parda,0.2772153875857498,4886
2013,7o EF,raca,Preta,0.38153329080410137,393
2013,7o EF,sexo,Homem,0.27526409692920345,4258
2013,7o EF,sexo,Mulher,0.19923333935514267,4003
2014,7o EF,raca,Branca,0.1676404190883331,2748
2014,7o EF,raca,Parda,0.28710905244145724,4521
2014,7o EF,raca,Preta,0.4013234249770272,419
2014,7o EF,sexo,Homem,0.28363408036113763,4095
2014,7o EF,sexo,Mulher,0.2003918057484215,3621
2015,7o EF,raca,Branca,0.14387864505876188,2601
2015,7o EF,raca,Parda,0.25257673406140074,4570
2015,7o EF,raca,Preta,0.343367454830045,389
2015,7o EF,sexo,Homem,0.27356513225052104,3904
2015,7o EF,sexo,Mulher,0.1552290772998395,3701
2016,7o EF,raca,Branca,0.13772139879872652,2845
2016,7o EF,raca,Parda,0.24321557019080495,4697
2016,7o EF,raca,Preta,0.3112306765898455,514
2016,7o EF,sexo,Homem,0.24160528684588947,4289
2016,7o EF,sexo,Mulher,0.16542199229398166,3817
2017,7o EF,raca,Branca,0.12094625794711464,2751
2017,7o EF,raca,Parda,0.23102052961398759,4825
2017,7o EF,raca,Preta,0.23482957418951572,487
2017,7o EF,sexo,Homem,0.23058874369866797,4401
2017,7o EF,sexo,Mulher,0.13764156124767388,3717
2018,7o EF,raca,Branca,0.12411345482361026,2615
2018,7o EF,raca,Parda,0.22592998528062266,4545
2018,7o EF,raca,Preta,0.2451448075532377,526
2018,7o EF,sexo,Homem,0.2337469829659528,4041
2018,7o EF,sexo,Mulher,0.13809787908446203,3716
2019,7o EF,raca,Branca,0.11873089188525666,2528
2019,7o EF,raca,Parda,0.19727089693753852,4353
2019,7o EF,raca,Preta,0.23151503166160037,535
2019,7o EF,sexo,Homem,0.20224182850523906,3909
2019,7o EF,sexo,Mulher,0.13320261144161785,3577
2020,7o EF,raca,Branca,0.11560304195221646,1864
2020,7o EF,raca,Parda,0.19594920135513963,3085
2020,7o EF,raca,Preta,0.15072861256948908,347
2020,7o EF,sexo,Homem,0.19179565617756406,2807
2020,7o EF,sexo,Mulher,0.1295548670692646,2521
2021,7o EF,raca,Branca,0.11888291564584533,1677
2021,7o EF,raca,Parda,0.20147653606130392,2774
2021,7o EF,raca,Preta,0.3015854935703002,308
2021,7o EF,sexo,Homem,0.22502117941000624,2551
2021,7o EF,sexo,Mulher,0.12538666676198482,2245
2022,7o EF,raca,Branca,0.09128653205112947,2180
2022,7o EF,raca,Parda,0.16476811588020424,3446
2022,7o EF,raca,Preta,0.17329538295724736,455
2022,7o EF,sexo,Homem,0.1641649609893194,3188
2022,7o EF,sexo,Mulher,0.10438145633312279,2950
2023,7o EF,raca,Branca,0.07712435493902563,2098
2023,7o EF,raca,Parda,0.13840974455220792,3370
2023,7o EF,raca,Preta,0.18195443783678356,465
2023,7o EF,sexo,Homem,0.14819948991461687,3124
2023,7o EF,sexo,Mulher,0.08426241491630201,2876
2024,7o EF,raca,Branca,0.07309375758481479,2182
2024,7o EF,raca,Parda,0.12056237560781749,3565
2024,7o EF,raca,Preta,0.15210045613836823,511
2024,7o EF,sexo,Homem,0.1258072449600246,3255
2024,7o EF,sexo,Mulher,0.08545474893837336,3064
2012,8o EF,raca,Branca,0.21714745970013868,2918
2012,8o EF,raca,Parda,0.3018953299502957,4390
2012,8o EF,raca,Preta,0.3776385168036803,413
2012,8o EF,sexo,Homem,0.32227849310865997,3919
2012,8o EF,sexo,Mulher,0.217601704354293,3833
2013,8o EF,raca,Branca,0.18227525232664016,2766
2013,8o EF,raca,Parda,0.27418429151915297,4055
2013,8o EF,raca,Preta,0.36164775286610423,399
2013,8o EF,sexo,Homem,0.28147218855843714,3733
2013,8o EF,sexo,Mulher,0.19511655415588156,3515
2014,8o EF,raca,Branca,0.16688453086706517,2535
2014,8o EF,raca,Parda,0.24768960077282276,4011
2014,8o EF,raca,Preta,0.33190097481422964,370
2014,8o EF,sexo,Homem,0.2547986504350578,3674
2014,8o EF,sexo,Mulher,0.17954017728690347,3262
2015,8o EF,raca,Branca,0.15317721191829364,2513
2015,8o EF,raca,Parda,0.24632372604072872,3915
2015,8o EF,raca,Preta,0.31482707610624777,324
2015,8o EF,sexo,Homem,0.24648096850966586,3439
2015,8o EF,sexo,Mulher,0.1711533373053067,3355
2016,8o EF,raca,Branca,0.13948980506038383,2519
2016,8o EF,raca,Parda,0.22346529264518414,4080
2016,8o EF,raca,Preta,0.2638947678908119,409
2016,8o EF,sexo,Homem,0.2265765387497379,3566
2016,8o EF,sexo,Mulher,0.15539619247405037,3473
2017,8o EF,raca,Branca,0.12696925541653173,2470
2017,8o EF,raca,Parda,0.22724700852249027,4297
2017,8o EF,raca,Preta,0.29715776667855887,415
2017,8o EF,sexo,Homem,0.22590847114673815,3756
2017,8o EF,sexo,Mulher,0.1589938831084115,3485
2018,8o EF,raca,Branca,0.10761943701207609,2356
2018,8o EF,raca,Parda,0.2061119911605148,3879
2018,8o EF,raca,Preta,0.274126507969187,476
2018,8o EF,sexo,Homem,0.21078569594401605,3469
2018,8o EF,sexo,Mulher,0.1314311481011354,3296
2019,8o EF,raca,Branca,0.0888134531985445,2282
2019,8o EF,raca,Parda,0.18682245986297216,3942
2019,8o EF,raca,Preta,0.2387683593954182,496
2019,8o EF,sexo,Homem,0.19285066422478012,3553
2019,8o EF,sexo,Mulher,0.10848669267920462,3223
2020,8o EF,raca,Branca,0.12056700941984379,1623
2020,8o EF,raca,Parda,0.17909438779475437,2636
2020,8o EF,raca,Preta,0.2871527678923642,301
2020,8o EF,sexo,Homem,0.21126734322280336,2431
2020,8o EF,sexo,Mulher,0.11077942046548511,2167
2021,8o EF,raca,Branca,0.10386014160150703,1633
2021,8o EF,raca,Parda,0.18902827875325096,2671
2021,8o EF,raca,Preta,0.24839006095575272,295
2021,8o EF,sexo,Homem,0.1884791457964047,2432
2021,8o EF,sexo,Mulher,0.1280499162730618,2204
2022,8o EF,raca,Branca,0.09283244594205585,2086
2022,8o EF,raca,Parda,0.1494049022628819,3488
2022,8o EF,raca,Preta,0.15981780515630062,469
2022,8o EF,sexo,Homem,0.1573561376376886,3211
2022,8o EF,sexo,Mulher,0.0955703483930204,2885
2023,8o EF,raca,Branca,0.09160796887568531,2021
2023,8o EF,raca,Parda,0.1419724535146019,3285
2023,8o EF,raca,Preta,0.1569714206572499,439
2023,8o EF,sexo,Homem,0.14672030608739056,3018
2023,8o EF,sexo,Mulher,0.09826493344301547,2782
2024,8o EF,raca,Branca,0.07921110030279957,2038
2024,8o EF,raca,Parda,0.11855638156767745,3363
2024,8o EF,raca,Preta,0.15396990007825015,471
2024,8o EF,sexo,Homem,0.12556061162665194,3135
2024,8o EF,sexo,Mulher,0.0858186131021426,2804
2012,9o EF,raca,Branca,0.10495573902663077,1776
2012,9o EF,raca,Parda,0.2260449935911547,3110
2012,9o EF,raca,Preta,0.22881966810069743,275
2012,9o EF,sexo,Homem,0.21731638632521658,2465
2012,9o EF,sexo,Mulher,0.14017099812373243,2718
2013,9o EF,raca,Branca,0.11823026108193649,1813
2013,9o EF,raca,Parda,0.20986796301061764,3258
2013,9o EF,raca,Preta,0.20631792143474875,253
2013,9o EF,sexo,Homem,0.20733373600988333,2666
2013,9o EF,sexo,Mulher,0.13670936547079351,2681
2014,9o EF,raca,Branca,0.11416248059585865,1850
2014,9o EF,raca,Parda,0.18705034563884382,3297
2014,9o EF,raca,Preta,0.2772453555791032,299
2014,9o EF,sexo,Homem,0.2093007031333567,2755
2014,9o EF,sexo,Mulher,0.11983975761847433,2716
2015,9o EF,raca,Branca,0.10188120176130522,2245
2015,9o EF,raca,Parda,0.19112948936151233,3758
2015,9o EF,raca,Preta,0.2669564832867319,290
2015,9o EF,sexo,Homem,0.18018393590471102,3160
2015,9o EF,sexo,Mulher,0.1376822961582018,3163
2016,9o EF,raca,Branca,0.11931079305778994,2445
2016,9o EF,raca,Parda,0.17587044763808085,3851
2016,9o EF,raca,Preta,0.2276028470891327,444
2016,9o EF,sexo,Homem,0.19233311001893727,3462
2016,9o EF,sexo,Mulher,0.11831316966930008,3328
2017,9o EF,raca,Branca,0.11668917104837057,2440
2017,9o EF,raca,Parda,0.17366391946234647,4027
2017,9o EF,raca,Preta,0.2219629960510919,413
2017,9o EF,sexo,Homem,0.18777403201941542,3472
2017,9o EF,sexo,Mulher,0.12280788976211358,3449
2018,9o EF,raca,Branca,0.0977683755419111,2394
2018,9o EF,raca,Parda,0.18223587217105544,3883
2018,9o EF,raca,Preta,0.20902991553653283,467
2018,9o EF,sexo,Homem,0.18642230491355088,3400
2018,9o EF,sexo,Mulher,0.1125372348415253,3407
2019,9o EF,raca,Branca,0.08649158593229063,2328
2019,9o EF,raca,Parda,0.17027155795936047,3814
2019,9o EF,raca,Preta,0.19583486771054326,486
2019,9o EF,sexo,Homem,0.1651555993909514,3367
2019,9o EF,sexo,Mulher,0.11866173811238355,3325
2020,9o EF,raca,Branca,0.08283467257230319,1647
2020,9o EF,raca,Parda,0.1769718701374076,2640
2020,9o EF,raca,Preta,0.19808282861088772,321
2020,9o EF,sexo,Homem,0.17902532171703242,2350
2020,9o EF,sexo,Mulher,0.10549329377367414,2297
2021,9o EF,raca,Branca,0.11854765186297417,1694
2021,9o EF,raca,Parda,0.16769176420072376,2597
2021,9o EF,raca,Preta,0.2833690997987953,273
2021,9o EF,sexo,Homem,0.18827445161291462,2351
2021,9o EF,sexo,Mulher,0.12079474916996881,2250
2022,9o EF,raca,Branca,0.10349070812450241,2168
2022,9o EF,raca,Parda,0.15899310264828542,3573
2022,9o EF,raca,Preta,0.17362467932126222,483
2022,9o EF,sexo,Homem,0.16739626229945634,3271
2022,9o EF,sexo,Mulher,0.10791281559338334,3004
2023,9o EF,raca,Branca,0.08325625190157049,2157
2023,9o EF,raca,Parda,0.13810048540595413,3325
2023,9o EF,raca,Preta,0.1884451972287936,466
2023,9o EF,sexo,Homem,0.1451680627622774,3120
2023,9o EF,sexo,Mulher,0.0934392478482683,2887
2024,9o EF,raca,Branca,0.07308059593625962,2109
2024,9o EF,raca,Parda,0.12056945783736424,3347
2024,9o EF,raca,Preta,0.17433512108803068,489
2024,9o EF,sexo,Homem,0.13585889123572775,3053
2024,9o EF,sexo,Mulher,0.07892212723750307,2946
