ano,serie,idade_media,n
2012,1o EF,6.406929456614864,7572
2013,1o EF,6.353175473336963,6770
2014,1o EF,6.224612302190693,6521
2015,1o EF,6.2080035821589075,6572
2016,1o EF,6.305709665027212,7094
2017,1o EF,6.230057745037562,6785
2018,1o EF,6.205762789941094,6630
2019,1o EF,6.224423728795209,6303
2020,1o EF,6.243788758665917,4365
2021,1o EF,6.4310655393646945,3694
2022,1o EF,6.398546583448815,5181
2023,1o EF,6.460114740272915,4714
2024,1o EF,6.452130415337548,5253
2012,1o EM,15.648343941887228,8305
2013,1o EM,15.615521631836483,7722
2014,1o EM,15.52506736617464,7366
2015,1o EM,15.57581569588409,7358
2016,1o EM,15.58093783705128,8067
2017,1o EM,15.637525211243473,7933
2018,1o EM,15.647345350219142,7189
2019,1o EM,15.647832066557642,7241
2020,1o EM,15.629719014689394,5072
2021,1o EM,15.748738062304755,4658
2022,1o EM,15.594602374837592,6263
2023,1o EM,15.538405911170122,6015
2024,1o EM,15.500152119660102,6196
2012,2o EF,7.393783569864964,8340
2013,2o EF,7.25273658926308,7301
2014,2o EF,7.2348674361870255,7147
2015,2o EF,7.177816895292067,6868
2016,2o EF,7.24299435337098,7188
2017,2o EF,7.204224472725622,7067
2018,2o EF,7.18302015953714,6845
2019,2o EF,7.130336627619888,6495
2020,2o EF,7.170322446530714,4403
2021,2o EF,7.304495779213544,3852
2022,2o EF,7.2749614846050665,5430
2023,2o EF,7.317158453523899,5649
2024,2o EF,7.353729268092074,5720
2012,2o EM,16.59996352770419,6444
2013,2o EM,16.548769503559562,6092
2014,2o EM,16.544569735683847,6032
2015,2o EM,16.500822130819166,6186
2016,2o EM,16.505175467440715,6472
2017,2o EM,16.5188150269581,6272
2018,2o EM,16.44938613364556,5964
2019,2o EM,16.523587509365868,5853
2020,2o EM,16.50320409374186,4320
2021,2o EM,16.580134977163816,4190
2022,2o EM,16.512859687388374,5367
2023,2o EM,16.473892860195576,5265
2024,2o EM,16.46391606417493,5430
2012,3o EF,8.568481535928997,8761
2013,3o EF,8.448106347052095,7802
2014,3o EF,8.448818820933527,7369
2015,3o EF,8.344841522802975,7414
2016,3o EF,8.356657513222293,7840
2017,3o EF,8.273235716656034,7699
2018,3o EF,8.257789215091337,7172
2019,3o EF,8.239617775924884,7399
2020,3o EF,8.202988808636404,4813
2021,3o EF,8.300088700618128,4119
2022,3o EF,8.204158513856248,5504
2023,3o EF,8.271489423470081,5687
2024,3o EF,8.365304166332734,6126
2012,3o EM,17.58030914801195,6026
2013,3o EM,17.520677903239594,5609
2014,3o EM,17.565435123303832,5651
2015,3o EM,17.49342766702614,5849
2016,3o EM,17.424401119283335,6433
2017,3o EM,17.438110949580086,6223
2018,3o EM,17.4244211135465,5790
2019,3o EM,17.41446096598788,5784
2020,3o EM,17.50192040580594,3986
2021,3o EM,17.629721789945606,4097
2022,3o EM,17.49781818517877,5178
2023,3o EM,17.47205719910714,4871
2024,3o EM,17.476408311325514,5049
2012,4o EF,9.69594527434716,9135
2013,4o EF,9.54943932555916,8023
2014,4o EF,9.516841040630464,7503
2015,4o EF,9.439223231480575,7584
2016,4o EF,9.427963518112302,7894
2017,4o EF,9.365096827958297,7910
2018,4o EF,9.384675648801343,7734
2019,4o EF,9.322154816403666,7408
2020,4o EF,9.272995495735803,4886
2021,4o EF,9.343308892337593,4460
2022,4o EF,9.248670134161234,5738
2023,4o EF,9.323923514068165,5649
2024,4o EF,9.32079590401378,6069
2012,5o EF,10.965938747999793,9591
2013,5o EF,10.744567662976028,8392
2014,5o EF,10.65182892641096,7661
2015,5o EF,10.581110213898796,7578
2016,5o EF,10.586903612545099,8032
2017,5o EF,10.525723774776376,8080
2018,5o EF,10.46234796802633,7805
2019,5o EF,10.38198213541843,7419
2020,5o EF,10.417091114993054,4882
2021,5o EF,10.482745659116885,4572
2022,5o EF,10.33586319314263,5979
2023,5o EF,10.319861621643648,5828
2024,5o EF,10.319926465046958,5941
2012,6o EF,12.00411162375082,9896
2013,6o EF,11.938331175807974,8881
2014,6o EF,11.806459214607354,8065
2015,6o EF,11.703728076528687,8249
2016,6o EF,11.680171050612568,9048
2017,6o EF,11.719088797375372,8712
2018,6o EF,11.612957448988597,8297
2019,6o EF,11.587899007080486,8030
2020,6o EF,11.518083627621765,5406
2021,6o EF,11.561155031943184,4783
2022,6o EF,11.443936629196903,6366
2023,6o EF,11.430957633451971,6258
2024,6o EF,11.446029245078794,6290
2012,7o EF,12.956034750786593,9126
2013,7o EF,12.898899138129199,8261
2014,7o EF,12.822956179627909,7716
2015,7o EF,12.755473961614687,7605
2016,7o EF,12.688772236462187,8106
2017,7o EF,12.657544572307033,8118
2018,7o EF,12.665829690216496,7757
2019,7o EF,12.624554511891542,7486
2020,7o EF,12.569467628389896,5328
2021,7o EF,12.668935087880094,4796
2022,7o EF,12.467183230112877,6138
2023,7o EF,12.42674031252321,6000
2024,7o EF,12.431425504299083,6319
2012,8o EF,13.982546818029286,7752
2013,8o EF,13.815034870686056,7248
2014,8o EF,13.77710526356819,6936
2015,8o EF,13.688243661574306,6794
2016,8o EF,13.61524308218395,7039
2017,8o EF,13.634966783241582,7241
2018,8o EF,13.56467977100349,6765
2019,8o EF,13.54933669070825,6776
2020,8o EF,13.592558862294814,4598
2021,8o EF,13.61287501772567,4636
2022,8o EF,13.44219609285142,6096
2023,8o EF,13.436951450542708,5800
2024,8o EF,13.40284312225417,5939
2012,9o EF,14.452078412228591,5183
2013,9o EF,14.423652485970532,5347
2014,9o EF,14.433014023581316,5471
2015,9o EF,14.423009102280966,6323
2016,9o EF,14.430159926895342,6790
2017,9o EF,14.424477546455863,6921
2018,9o EF,14.442022961430263,6807
2019,9o EF,14.422615593401915,6692
2020,9o EF,14.455075511380334,4647
2021,9o EF,14.566068159107317,4601
2022,9o EF,14.444740234072885,6275
2023,9o EF,14.435566243856906,6007
2024,9o EF,14.403488666830086,5999
